sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_207	0	0	0	15	0	0	0	0	12	0	0	220	46	0	0	18	0	22	0	0	0	0
ASV_208	0	62	0	0	0	0	0	48	0	0	13	1565	0	143	0	0	138	0	0	0	0	129
ASV_209	0	140	13	0	648	0	0	0	0	100	0	328	0	54	0	0	0	0	265	29	0	0
ASV_210	12	0	0	521	25	44	0	0	45	19	0	0	242	84	0	86	78	44	40	0	72	68
ASV_211	0	0	0	221	0	95	0	0	265	0	27	0	476	112	0	104	51	45	0	0	458	0
ASV_212	0	0	0	2203	0	65	0	0	117	0	0	0	499	0	0	75	0	101	0	0	53	0
ASV_213	0	0	0	297	0	234	0	0	289	0	51	0	763	0	0	161	0	27	0	0	247	0
ASV_214	0	0	0	813	0	0	0	0	325	0	70	0	116	0	0	499	0	39	0	0	866	0
ASV_215	0	37	653	0	0	0	0	0	0	241	0	66	0	0	0	0	13	0	17	21	0	0
ASV_216	33	0	0	22	31	0	0	0	0	109	0	0	0	43	0	0	0	0	0	0	0	0
ASV_217	270	0	0	0	91	0	0	0	0	357	0	0	0	0	0	0	0	0	39	0	0	0
ASV_218	0	0	0	0	0	0	0	0	9	34	4	33	0	0	0	0	56	0	132	94	0	13
ASV_219	0	0	19	230	36	168	0	0	152	9	17	0	1311	0	0	101	30	35	29	0	547	0
ASV_220	0	0	6	583	0	166	0	0	132	0	9	0	569	324	0	110	487	150	0	0	64	0
ASV_221	0	0	9	54	0	48	57	0	97	316	16	34	47	301	0	19	295	25	13	0	40	0
ASV_222	0	0	0	321	54	105	0	15	59	30	0	0	158	121	0	65	132	44	0	18	48	9
ASV_223	18	0	15	0	49	0	0	2562	0	119	0	22	0	0	0	0	0	0	21	248	0	0
ASV_224	0	0	0	43	0	109	0	0	2166	0	0	0	79	0	0	305	0	57	0	0	78	0
ASV_225	68	85	0	0	135	0	0	0	0	919	0	90	0	0	0	0	0	0	0	51	0	130
ASV_226	0	0	0	0	0	0	0	35	0	0	0	0	3	0	0	0	69	0	0	0	0	2767
ASV_227	0	0	0	0	18	178	0	32	429	0	0	146	0	277	0	530	22	535	0	24	59	35
ASV_228	114	0	9	0	34	0	0	0	5	63	0	9	0	0	0	0	0	0	57	0	0	0
ASV_229	0	0	0	1026	0	249	0	0	293	0	72	0	399	0	0	368	0	29	0	0	380	0
ASV_230	0	0	0	216	0	101	0	0	830	0	0	0	238	151	0	347	197	0	0	0	383	0
ASV_231	0	28	0	0	80	0	0	71	0	117	0	0	0	0	0	0	14	0	11	62	0	144
ASV_232	0	0	0	0	573	0	0	0	0	181	0	103	0	19	0	0	0	0	678	121	0	0
ASV_233	51	117	40	45	48	0	41	0	40	0	0	0	44	0	307	36	54	0	0	253	44	79
ASV_234	56	76	0	10	1250	0	0	37	0	291	0	0	13	0	0	0	11	0	34	0	0	0
ASV_235	0	0	0	501	0	84	0	0	408	0	93	0	1000	0	0	458	0	0	0	0	157	0
ASV_236	0	0	82	0	138	0	0	266	0	146	0	63	0	0	0	0	0	0	0	177	0	0
ASV_237	0	107	0	0	86	0	0	0	0	29	0	0	0	103	0	0	0	0	41	0	0	17
ASV_238	0	0	25	0	564	0	0	35	37	0	0	0	0	141	0	0	37	9	66	0	14	181
ASV_239	0	0	0	361	41	126	0	0	27	0	11	0	401	145	0	33	56	106	0	0	85	0
ASV_240	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	2081
ASV_241	0	0	0	868	0	0	0	0	89	0	0	0	912	0	0	83	0	27	0	0	360	0
ASV_242	0	31	0	0	91	0	0	14	0	313	0	23	0	0	0	0	0	0	5	373	0	0
ASV_243	0	9	6	0	0	0	319	0	0	0	0	0	14	23	0	4	0	6	0	25	6	42
ASV_244	0	34	5	0	339	0	36	16	0	228	0	58	0	0	0	0	0	0	0	150	0	0
ASV_245	0	0	0	0	116	114	0	0	332	0	23	0	473	0	0	108	124	35	0	0	104	0
ASV_246	0	0	0	1384	0	147	0	0	75	0	49	0	462	0	0	49	0	60	0	0	101	0
ASV_247	0	12	0	0	0	0	34	0	0	226	0	34	0	0	0	0	0	0	52	0	0	0
ASV_248	67	0	30	75	55	0	0	15	0	206	0	0	0	32	0	0	37	0	0	168	0	41
ASV_249	24	36	16	4	108	0	407	578	0	0	0	250	0	41	0	0	4	0	486	321	0	125
ASV_250	28	0	6	0	107	0	0	0	0	476	0	0	0	0	0	0	0	0	15	43	0	0
ASV_251	0	0	0	0	111	0	0	64	0	494	0	83	0	0	0	0	0	0	0	206	0	15
ASV_252	56	0	0	0	381	0	0	0	0	92	0	0	0	107	0	0	92	0	26	29	0	201
ASV_253	129	0	0	416	0	107	0	0	137	0	0	0	777	0	11	93	0	42	0	0	127	0
ASV_254	0	0	0	0	0	0	0	39	0	0	0	0	14	13	25	2	0	0	0	31	7	110
ASV_255	0	0	0	0	813	0	0	0	12	24	0	0	0	120	0	53	24	0	0	0	0	0
ASV_256	0	0	0	50	0	0	0	0	35	0	0	0	81	0	0	156	0	118	0	0	1918	0
ASV_257	167	0	7	0	97	0	0	0	0	359	0	0	0	0	0	0	0	0	0	87	0	0
ASV_258	0	0	1123	2	0	20	0	12	58	0	0	0	0	0	0	0	0	29	0	396	24	0
ASV_259	0	0	0	0	74	0	0	10	0	0	0	46	0	0	0	0	0	0	0	39	0	1169
ASV_260	0	23	0	0	0	0	0	0	0	610	0	92	0	81	0	0	0	0	37	201	0	64
ASV_261	0	0	0	418	0	135	0	0	797	0	41	0	271	0	0	212	0	0	0	0	119	0
ASV_262	41	0	0	0	1035	0	0	758	0	0	0	67	0	0	0	0	0	0	40	392	0	0
ASV_263	0	0	0	158	0	0	45	0	980	0	37	0	283	0	0	56	0	182	0	34	189	0
ASV_264	0	0	24	0	108	0	0	230	0	327	0	192	0	169	0	0	159	0	0	61	0	273
ASV_265	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277
ASV_266	104	61	0	0	0	0	0	30	0	160	0	0	0	0	0	0	0	0	6	0	0	0
ASV_267	0	0	16	0	35	0	90	0	0	0	0	72	0	0	0	0	0	2	0	0	0	0
ASV_268	0	0	0	0	388	0	0	0	0	22	0	54	0	0	0	0	0	0	120	0	0	0
ASV_269	0	0	0	209	0	107	0	0	67	0	0	0	373	275	0	0	345	0	0	0	54	0
ASV_270	0	0	0	331	0	194	0	0	140	0	0	0	372	75	0	91	63	14	0	0	138	0
ASV_271	0	0	0	0	181	0	112	48	0	120	0	58	0	176	0	0	0	0	12	29	0	628
ASV_272	0	0	71	0	24	10	0	209	57	95	0	85	5	0	0	11	0	5	0	147	0	0
ASV_273	0	0	0	751	0	74	0	0	156	0	22	0	920	0	0	138	0	0	0	0	104	0
ASV_274	0	0	0	796	0	30	0	0	191	0	15	0	891	0	0	56	0	0	0	0	132	0
ASV_275	0	54	0	0	0	0	19	19	0	0	0	0	0	0	100	0	0	0	57	16	0	0
ASV_276	147	0	0	0	219	0	0	0	26	22	0	41	3	60	0	0	0	0	35	0	26	0
ASV_277	0	0	0	17	28	205	0	0	1340	0	0	0	0	0	0	194	0	12	31	0	40	0
ASV_278	115	0	0	0	105	7	241	37	0	0	11	0	0	24	113	0	41	0	81	122	0	12
ASV_279	34	0	0	0	475	0	0	0	0	877	0	74	0	43	0	0	0	0	0	0	0	0
ASV_280	0	0	0	20	0	208	0	0	115	9	15	0	84	0	0	37	0	52	0	0	751	0
ASV_281	0	0	0	0	125	0	0	0	0	0	0	106	0	0	0	0	0	0	72	0	0	0
ASV_282	0	0	0	89	0	48	0	0	416	0	0	30	93	0	0	38	0	101	0	0	22	0
ASV_283	0	0	0	0	203	0	185	0	0	0	0	47	0	0	0	0	0	0	59	29	0	0
ASV_284	0	12	0	0	0	0	0	0	298	0	0	0	132	0	0	39	0	0	0	0	0	0
ASV_285	0	0	0	157	0	8	0	0	62	0	7	0	60	0	0	91	820	0	14	0	34	86
ASV_286	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0
ASV_287	0	0	0	7	25	19	0	25	53	33	0	39	44	0	0	15	0	10	0	39	0	55
ASV_288	0	0	0	457	0	24	0	17	487	0	31	0	261	0	0	42	21	41	0	0	86	20
ASV_289	0	0	0	216	0	122	0	0	743	26	33	0	277	0	0	268	0	69	0	0	119	0
ASV_290	0	0	0	0	0	5	0	0	11	307	0	28	9	0	63	0	0	9	0	0	0	21
ASV_291	0	0	0	35	0	48	0	0	23	0	0	0	322	0	0	80	0	187	0	0	63	0
ASV_292	30	0	0	0	201	0	0	99	0	45	0	29	0	25	0	0	76	0	0	41	0	812
ASV_293	74	0	0	70	20	0	0	0	0	40	0	74	74	0	0	0	76	31	0	0	46	0
ASV_294	33	0	0	23	0	58	102	0	59	114	28	147	58	0	0	93	0	0	59	0	29	0
ASV_295	0	0	0	371	0	99	0	0	61	0	9	0	260	0	0	59	133	26	0	0	108	0
ASV_296	166	0	0	0	37	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
ASV_297	0	0	0	0	304	0	0	54	0	39	0	0	0	0	0	0	0	0	0	0	0	1104
ASV_298	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	22	748	0	0	0	0	0
ASV_299	0	0	128	0	0	0	0	103	0	162	0	0	0	32	0	0	0	0	0	172	0	0
ASV_300	0	0	0	273	0	42	0	0	140	0	0	22	245	0	0	119	0	80	0	0	52	0
ASV_301	0	44	0	4	64	0	49	61	0	0	0	0	0	0	0	11	15	3	0	9	0	9
ASV_302	18	44	0	0	296	0	0	12	0	75	0	12	0	50	0	0	0	0	22	192	0	24
ASV_303	0	0	0	0	302	0	0	271	0	119	38	99	0	77	0	0	86	0	0	121	0	0
ASV_304	0	70	0	70	0	38	0	0	109	63	0	0	33	432	0	48	0	11	0	0	54	0
ASV_305	44	0	62	0	339	0	0	155	0	65	0	652	0	0	0	0	0	0	139	93	0	0
ASV_306	0	0	0	0	79	0	0	0	0	742	0	57	0	0	0	0	0	13	43	172	0	0
ASV_307	0	0	0	189	0	131	0	0	129	0	0	0	387	0	0	106	0	0	0	0	101	0
ASV_308	38	47	0	0	177	0	0	0	0	203	0	0	0	56	0	0	0	0	68	0	0	0
ASV_309	0	0	42	0	0	0	0	78	0	32	0	5	0	850	0	0	0	0	0	0	0	0
ASV_310	0	0	0	229	28	0	0	0	101	0	0	0	847	0	0	63	75	0	0	0	53	0
ASV_311	0	0	0	228	21	106	0	0	87	0	0	0	613	112	0	45	163	32	0	0	45	34
ASV_312	0	0	0	0	17	0	0	57	0	0	0	310	0	0	0	0	124	0	0	0	0	1245
ASV_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834
ASV_314	0	0	0	682	0	0	0	0	41	0	39	0	509	0	0	0	0	0	0	0	28	0
ASV_315	0	180	0	0	286	0	0	120	0	0	0	0	0	0	0	0	0	0	30	0	0	0
ASV_316	0	0	0	530	0	0	0	0	133	0	0	0	310	768	0	0	24	56	0	0	0	0
ASV_317	53	10	20	0	15	0	247	82	0	9	0	171	0	37	0	0	0	0	31	0	0	37
ASV_318	0	60	0	36	173	0	9	25	0	21	0	179	100	44	0	0	36	61	0	39	0	0
ASV_319	305	21	0	0	60	0	0	24	0	0	0	0	0	0	130	0	21	0	0	37	0	51
ASV_320	0	0	0	87	0	0	0	0	53	0	46	0	362	34	0	126	0	48	0	0	0	0
ASV_321	0	0	9	67	0	0	0	0	31	0	0	0	94	1457	0	0	49	0	0	0	58	0
ASV_322	30	148	0	0	88	0	158	106	0	353	0	79	0	27	24	0	0	0	66	336	0	0
ASV_323	0	0	0	0	11	0	0	84	0	69	0	491	0	0	0	0	0	0	41	0	0	385
ASV_324	0	0	56	0	57	0	0	114	0	29	0	54	0	721	0	0	0	0	24	0	0	0
ASV_325	141	37	0	0	0	0	54	21	0	9	0	0	0	6	27	0	46	0	0	55	0	0
ASV_326	0	0	0	0	0	0	0	57	0	34	0	0	0	989	0	0	0	0	0	28	0	0
ASV_327	0	0	0	0	385	0	0	106	0	113	0	111	0	0	0	0	0	0	0	170	0	354
ASV_328	0	0	33	0	67	0	0	11	15	45	0	85	0	6	0	0	0	23	0	43	0	0
ASV_329	0	0	0	255	0	79	0	0	158	0	63	0	273	0	0	216	0	28	0	0	100	0
ASV_330	0	0	0	0	84	0	0	225	0	837	0	78	0	0	0	0	0	0	0	227	0	0
ASV_331	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
ASV_332	55	0	0	0	16	0	0	0	0	626	4	21	0	24	0	0	0	0	18	0	15	0
ASV_333	0	111	0	0	66	0	0	0	0	133	0	0	0	0	0	0	0	0	90	0	0	0
ASV_334	0	13	16	0	422	0	0	22	0	63	0	102	0	32	0	0	26	0	0	0	0	0
ASV_335	0	0	0	0	203	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_336	0	0	0	45	0	53	0	0	0	0	0	0	118	0	0	23	27	0	0	0	0	0
ASV_337	0	0	0	105	0	0	0	0	0	0	0	0	71	0	0	559	674	0	0	0	0	0
ASV_338	0	35	0	0	0	0	0	29	0	0	0	276	0	0	0	0	31	0	0	0	0	973
ASV_339	0	12	0	0	96	0	99	43	0	235	0	52	0	0	0	0	0	0	40	129	0	0
ASV_340	0	0	0	133	10	56	0	0	75	0	26	0	515	0	9	67	21	244	0	0	107	0
ASV_341	74	20	0	0	14	0	97	0	13	0	0	34	11	0	0	16	0	11	30	37	7	58
ASV_342	0	0	0	121	0	39	0	0	502	0	0	0	149	0	0	192	0	10	0	0	77	49
ASV_343	2	0	10	0	18	0	0	106	0	50	0	51	0	0	0	0	0	0	6	0	0	0
ASV_344	378	0	0	0	0	0	0	0	0	372	0	18	0	18	0	0	18	0	0	0	0	0
ASV_345	0	79	0	0	98	0	0	0	0	122	0	32	10	0	0	0	0	0	16	17	0	0
ASV_346	0	65	0	0	100	0	0	57	0	76	0	141	0	0	0	0	0	0	53	0	0	0
ASV_347	0	27	0	0	40	0	40	0	0	22	0	0	0	42	0	0	0	0	0	0	0	92
ASV_348	0	0	0	0	16	0	211	0	0	0	0	0	0	0	0	0	92	53	0	0	0	0
ASV_349	11	0	0	0	0	9	0	45	0	105	0	0	7	22	59	0	0	0	49	35	5	31
ASV_350	0	0	9	0	86	0	14	13	0	241	0	92	0	0	0	0	0	0	102	480	0	57
ASV_351	0	0	0	72	0	62	0	0	116	0	110	0	118	154	0	115	101	0	0	0	261	32
ASV_352	0	20	0	0	0	0	0	33	0	0	0	644	0	0	0	0	35	0	0	0	0	0
ASV_353	0	0	0	0	0	0	153	38	0	120	0	35	0	0	0	0	0	0	0	210	0	0
ASV_354	0	0	0	0	408	0	0	0	0	111	0	14	0	27	0	0	0	0	0	68	0	0
ASV_355	0	0	0	85	0	61	0	20	65	35	0	20	136	0	0	29	26	0	0	80	43	0
ASV_356	0	0	0	0	45	0	0	0	0	0	0	749	41	147	0	0	0	0	45	0	3	0
ASV_357	0	0	0	0	0	0	0	0	0	91	0	0	0	1155	0	0	0	0	0	0	0	0
ASV_358	0	0	0	216	0	84	0	0	179	0	10	0	681	0	0	62	34	20	0	0	109	0
ASV_359	0	0	0	347	0	223	0	0	216	0	0	0	27	28	0	136	129	228	0	0	96	0
ASV_360	0	0	0	32	18	0	0	0	8	0	0	0	56	49	0	56	461	0	0	0	0	0
ASV_361	0	0	0	289	0	39	0	0	39	0	0	0	232	266	0	22	102	17	0	0	32	0
ASV_362	0	0	0	69	0	33	0	0	96	0	41	0	40	0	0	39	0	0	0	0	70	0
ASV_363	0	0	0	203	0	51	0	0	61	0	0	0	75	0	0	51	156	0	0	0	0	0
ASV_364	40	19	0	0	34	0	10	0	0	23	0	0	0	56	0	0	0	0	57	0	0	0
ASV_365	0	0	0	281	0	127	0	0	546	0	0	0	69	0	0	85	0	0	0	0	431	0
ASV_366	0	0	20	57	59	0	0	19	19	35	0	35	109	0	32	17	0	29	0	95	27	0
ASV_367	122	0	0	106	0	0	0	0	51	0	0	0	73	0	0	0	0	0	0	0	24	0
ASV_368	0	0	0	7	67	0	0	0	20	0	0	0	0	107	0	9	66	0	0	0	0	0
ASV_369	33	135	39	0	208	0	364	57	0	0	0	0	0	0	0	0	0	0	51	312	0	253
ASV_370	0	0	0	0	51	0	237	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
ASV_371	0	0	15	0	75	0	0	50	0	177	0	17	0	0	0	6	0	0	0	291	0	0
ASV_372	0	0	0	49	0	0	0	0	0	0	0	0	0	298	0	0	1039	0	0	0	0	0
ASV_373	0	0	6	0	47	0	0	61	0	128	0	0	0	0	0	0	0	0	0	150	0	0
ASV_374	84	0	0	69	0	0	0	0	110	138	0	0	0	0	0	60	0	58	58	0	41	0
ASV_375	0	0	0	0	40	0	0	0	0	128	0	0	0	17	0	0	10	0	0	0	0	642
ASV_376	0	0	11	0	14	0	0	0	0	353	0	9	0	18	0	0	0	0	0	52	0	0
ASV_377	0	0	0	324	0	45	0	0	53	0	9	0	587	30	0	128	97	45	0	0	38	0
ASV_378	0	0	14	0	37	0	0	11	8	113	0	0	0	0	0	0	0	0	0	37	0	234
ASV_379	0	0	0	0	29	0	0	218	0	0	0	77	0	0	0	0	0	0	42	912	0	0
ASV_380	20	24	0	0	132	0	0	0	0	0	0	22	0	0	0	0	0	0	133	0	0	0
ASV_381	0	0	27	0	30	0	0	56	0	416	0	34	0	65	0	0	0	0	0	386	0	18
ASV_382	0	14	52	0	60	0	0	0	0	37	0	114	0	0	0	0	0	0	59	172	0	0
ASV_383	0	0	0	107	0	0	0	0	16	0	0	63	78	79	0	0	948	0	0	106	0	0
ASV_384	0	0	0	30	67	14	0	0	24	0	0	0	123	43	0	44	0	17	0	0	31	0
ASV_385	0	265	3	0	132	0	48	16	0	83	0	0	0	19	0	0	0	0	12	0	0	0
ASV_386	0	0	33	0	0	0	55	30	0	108	0	82	0	38	0	0	0	0	0	50	12	329
ASV_387	0	0	8	108	0	32	0	0	54	0	65	0	260	105	0	52	102	0	35	0	396	0
ASV_388	86	0	0	0	0	0	0	37	0	120	0	162	0	140	0	0	0	0	97	0	0	0
ASV_389	0	0	7	0	36	0	0	24	0	318	0	66	0	79	0	0	20	0	0	0	0	87
ASV_390	0	0	0	409	0	19	0	0	132	0	46	0	482	0	0	28	0	6	0	0	260	0
ASV_391	0	0	0	0	101	0	0	155	0	2	0	5	0	0	0	0	0	0	35	494	0	0
ASV_392	0	0	0	0	24	47	0	36	0	0	0	0	0	0	0	0	0	27	0	52	54	0
ASV_393	0	0	0	0	48	0	0	0	59	111	0	0	0	272	0	19	0	0	0	53	0	0
ASV_394	0	0	0	59	38	0	0	38	7	123	0	284	49	0	0	0	0	0	100	0	12	0
ASV_395	0	0	0	176	0	78	0	0	61	0	5	314	359	15	0	68	8	59	0	0	41	29
ASV_396	0	0	0	0	47	0	0	35	0	421	0	29	0	45	0	0	0	0	0	0	0	237
ASV_397	0	0	0	252	0	79	0	0	171	0	0	0	246	0	0	120	0	94	0	0	110	0
ASV_398	0	0	0	618	0	45	0	0	42	0	0	0	0	0	0	0	251	0	0	0	0	0
ASV_399	0	20	0	0	100	0	0	39	0	0	0	71	0	139	0	0	74	0	0	0	0	0
ASV_400	51	0	0	0	47	0	322	0	0	0	0	31	4	0	0	0	0	0	0	0	0	0
ASV_401	0	24	4	13	0	0	0	644	0	0	0	53	87	0	0	0	0	0	24	243	96	0
ASV_402	0	18	0	29	0	0	26	0	0	0	7	0	5	0	42	27	0	0	0	204	0	54
ASV_403	0	0	0	284	0	77	0	0	144	0	10	0	376	0	0	60	0	9	0	0	359	0
ASV_404	0	49	0	0	20	0	0	29	0	32	0	0	0	0	0	0	0	0	23	87	0	0
ASV_405	0	0	0	0	45	0	0	0	0	72	0	0	0	0	0	0	0	0	20	218	0	0
ASV_406	0	0	0	247	0	100	0	0	333	0	0	0	486	0	0	39	0	96	0	0	49	0
ASV_407	0	0	0	0	7	0	0	0	0	156	0	116	0	37	0	0	0	0	63	128	0	0
ASV_408	0	46	0	0	7	0	0	23	0	116	0	61	0	26	0	0	0	0	0	22	0	645
ASV_409	0	41	4	0	219	0	59	45	0	0	0	173	0	30	0	0	0	0	74	661	0	0
ASV_410	0	0	0	0	0	0	0	0	58	0	0	0	40	461	0	0	0	0	0	0	0	102
ASV_411	0	0	6	0	60	0	0	84	0	87	0	0	0	0	0	0	0	0	0	0	0	174
ASV_412	0	41	0	0	0	0	28	45	0	0	0	0	0	280	0	0	0	0	110	86	0	0
ASV_413	0	0	48	0	85	0	0	0	0	37	0	0	0	0	0	0	0	0	0	153	0	0
ASV_414	9	126	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0
ASV_415	0	0	0	0	118	0	0	0	0	153	0	0	0	11	0	0	0	0	0	280	0	0
ASV_416	0	0	0	0	145	7	0	15	21	248	0	0	8	0	0	13	0	17	0	0	13	26
ASV_417	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877
ASV_418	0	0	0	58	0	0	0	0	0	0	0	90	195	0	0	0	323	0	0	0	0	0
ASV_419	0	0	0	0	0	0	0	37	0	0	0	124	0	0	0	0	0	0	93	0	0	54
ASV_420	0	0	0	0	621	0	0	0	14	90	0	0	0	157	0	0	118	0	0	0	0	0
ASV_421	23	0	0	0	68	0	0	15	0	148	0	14	0	31	0	0	0	0	0	359	0	54
ASV_422	0	0	0	0	16	0	0	0	0	176	0	46	0	29	0	0	0	0	0	109	0	20
ASV_423	0	23	0	0	7	0	0	0	0	516	0	0	0	0	0	0	0	0	8	44	0	0
ASV_424	0	0	31	313	0	0	24	0	43	0	0	0	150	0	0	29	0	27	0	0	33	26
ASV_425	0	0	0	352	0	140	0	0	84	0	0	0	416	0	71	80	0	105	0	0	0	0
ASV_426	0	0	0	0	452	0	0	0	0	0	0	0	0	33	0	0	140	0	0	0	0	0
ASV_427	0	0	0	99	0	32	0	0	22	0	0	56	267	0	0	56	0	157	0	0	21	87
ASV_428	0	0	0	207	0	0	0	0	29	418	0	0	155	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	104	0	50	0	0	42	0	0	0	175	0	0	0	0	19	0	0	0	0
ASV_430	66	0	0	0	26	0	0	6	0	183	0	0	0	0	0	0	0	0	57	0	0	0
ASV_431	0	0	0	6	102	0	0	0	0	123	0	0	17	54	0	0	0	0	0	115	9	0
ASV_432	0	0	0	472	110	0	0	0	0	0	0	123	0	143	0	25	0	0	65	0	0	0
ASV_433	0	0	16	0	13	0	0	84	0	70	0	80	0	20	0	0	27	0	0	19	0	27
ASV_434	0	0	0	0	218	0	0	0	0	204	0	16	0	0	0	0	0	0	0	398	0	0
ASV_435	0	0	0	0	0	0	0	57	0	179	0	28	0	0	0	0	0	0	10	245	0	0
ASV_436	0	0	7	0	0	0	0	274	0	67	0	0	0	0	0	0	0	0	0	431	0	0
ASV_437	0	0	0	0	227	0	0	0	0	117	0	11	0	55	0	0	42	0	0	0	0	0
ASV_438	16	0	0	0	53	0	0	0	0	229	0	0	0	16	0	0	0	0	0	83	0	0
ASV_439	124	7	0	0	22	0	0	0	0	77	0	28	0	6	0	0	0	0	0	0	0	0
ASV_440	0	0	0	0	73	0	0	0	0	71	0	246	28	134	0	0	0	0	56	14	0	29
ASV_441	11	0	5	0	333	0	0	0	0	167	0	0	0	157	0	0	23	0	0	0	0	0
ASV_442	0	0	0	220	0	78	0	0	189	28	33	0	45	0	0	223	0	0	16	0	154	0
ASV_443	27	0	0	0	55	0	0	0	0	0	0	0	34	69	0	0	0	0	0	146	19	0
ASV_444	0	0	0	0	17	0	192	0	0	112	0	0	0	0	0	0	0	0	0	17	0	0
ASV_445	0	0	0	0	62	0	0	36	0	483	0	7	0	6	0	0	0	0	0	70	0	31
ASV_446	0	0	0	0	0	0	0	0	573	43	0	0	0	0	0	0	0	162	0	0	22	0
ASV_447	0	0	0	84	0	96	0	0	104	0	0	0	68	0	0	73	0	0	0	0	477	0
ASV_448	0	0	0	0	0	52	0	0	338	0	10	0	23	0	0	30	0	43	0	0	159	0
ASV_449	74	0	16	0	0	0	0	0	0	98	0	12	0	22	0	0	0	0	0	67	0	17
ASV_450	0	0	0	66	0	0	0	0	0	0	0	0	88	42	0	47	333	0	0	0	0	0
