sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_451	32	0	0	0	19	0	0	41	0	276	0	0	0	133	0	0	0	0	0	13	0	0
ASV_452	0	0	0	29	53	98	0	0	31	11	28	0	104	0	0	51	26	0	30	0	47	0
ASV_453	0	0	0	0	0	0	0	0	0	0	0	116	0	33	0	0	75	0	0	0	0	0
ASV_454	0	0	3	0	15	0	0	114	0	195	0	63	0	0	0	0	0	0	50	82	0	0
ASV_455	54	0	0	0	580	0	0	0	0	89	0	0	0	0	0	0	31	0	0	0	0	56
ASV_456	0	44	0	0	0	0	0	0	0	259	0	188	0	19	0	0	0	0	0	62	0	0
ASV_457	0	0	0	0	0	24	0	0	210	0	0	0	119	0	0	79	0	0	0	0	0	0
ASV_458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	36	69	0	47
ASV_459	0	16	0	0	20	0	0	0	10	158	0	0	7	0	0	0	0	0	0	82	16	0
ASV_460	0	0	0	194	0	119	0	0	77	0	6	0	290	28	0	53	61	48	0	0	57	0
ASV_461	0	0	85	0	13	0	0	39	0	112	0	13	0	91	0	0	82	0	0	42	0	0
ASV_462	0	0	0	38	0	0	67	0	31	0	0	0	252	108	0	85	116	24	0	0	25	0
ASV_463	0	51	0	0	0	0	0	0	10	142	0	31	0	0	0	0	0	0	236	148	0	0
ASV_464	0	0	26	39	0	13	0	34	30	69	0	29	0	0	0	21	0	18	0	46	0	0
ASV_465	0	0	0	324	0	23	0	0	42	0	3	0	489	0	0	124	0	36	0	0	26	0
ASV_466	0	0	0	0	0	0	0	31	0	158	0	0	0	0	0	0	0	0	0	104	0	0
ASV_467	0	0	0	89	0	291	0	0	246	0	0	0	88	0	0	83	0	0	0	0	67	0
ASV_468	0	67	0	0	91	0	0	189	0	0	0	0	0	96	0	0	0	0	0	37	0	0
ASV_469	19	0	0	0	24	0	0	0	0	162	0	0	0	50	0	0	0	0	0	32	0	193
ASV_470	0	0	0	19	232	0	0	0	13	0	0	0	0	21	0	0	108	0	0	0	6	57
ASV_471	0	0	4	0	39	0	0	43	0	251	0	19	0	40	0	0	0	0	0	0	0	472
ASV_472	0	0	0	67	40	0	0	13	0	69	0	26	0	0	0	0	0	0	0	0	0	0
ASV_473	0	0	0	336	0	72	0	0	67	11	20	0	249	0	0	103	0	15	0	0	142	0
ASV_474	15	0	0	131	0	63	0	0	33	19	20	63	133	29	0	47	0	0	0	0	25	78
ASV_475	0	0	12	176	0	0	0	0	188	0	15	0	323	0	0	72	0	37	0	0	0	0
ASV_476	47	0	0	0	57	0	111	33	0	0	0	0	0	90	65	0	70	0	0	0	16	0
ASV_477	0	0	6	345	0	73	0	0	38	0	0	0	442	0	0	53	0	32	0	0	46	0
ASV_478	0	0	0	0	0	72	0	0	53	0	0	0	156	0	0	0	0	72	0	0	0	57
ASV_479	0	0	0	137	0	102	0	0	50	0	0	0	132	0	0	76	0	0	0	0	27	0
ASV_480	0	62	0	0	63	0	0	0	0	0	0	48	0	0	0	0	0	0	60	0	7	0
ASV_481	0	0	0	0	0	0	0	0	0	17	0	43	0	45	0	0	66	0	0	0	0	121
ASV_482	0	0	0	29	0	0	0	0	0	0	28	52	59	0	0	51	0	86	0	0	97	0
ASV_483	0	0	11	0	0	0	51	207	0	59	0	0	0	0	0	0	0	0	23	327	0	0
ASV_484	128	73	0	0	42	0	141	15	0	11	0	0	0	0	109	0	45	0	0	144	0	0
ASV_485	0	0	0	204	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV_486	0	0	0	22	0	0	26	0	0	0	0	116	118	0	0	0	28	0	0	54	0	0
ASV_487	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	177
ASV_488	0	0	0	43	0	46	0	0	37	0	0	0	315	0	0	47	0	80	0	0	98	0
ASV_489	0	0	0	0	0	0	0	0	0	34	0	0	0	55	0	0	0	0	0	0	0	558
ASV_490	0	0	0	73	0	79	0	0	214	0	17	0	421	0	0	67	0	0	0	0	48	0
ASV_491	0	0	104	0	0	0	0	0	0	49	0	59	0	0	0	0	0	0	0	0	0	338
ASV_492	0	0	0	229	0	0	0	0	40	0	33	0	563	0	0	51	0	3	0	0	75	0
ASV_493	0	39	387	7	32	0	0	150	30	139	0	0	0	0	0	0	0	0	0	0	7	0
ASV_494	0	0	0	0	0	0	123	0	0	0	0	58	0	0	0	0	0	0	33	0	0	18
ASV_495	6	19	0	0	0	10	0	0	0	8	0	0	12	37	0	0	39	21	0	63	0	0
ASV_496	0	0	0	82	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	66	0	0
ASV_497	0	0	0	0	0	0	0	0	0	9	0	0	0	63	46	0	59	0	0	0	0	60
ASV_498	0	0	0	0	0	0	0	44	0	0	0	197	0	0	0	0	0	0	50	0	0	0
ASV_499	9	0	0	0	62	0	0	66	0	396	0	135	0	0	0	0	0	0	0	178	0	40
ASV_500	0	0	8	133	0	49	0	0	186	0	0	0	267	56	0	95	0	0	0	0	76	0
ASV_501	0	65	0	0	6	0	0	115	0	0	0	0	0	0	0	0	0	0	57	152	0	34
ASV_502	0	0	0	170	0	0	0	0	29	32	0	0	88	5	0	30	0	23	0	0	25	0
ASV_503	0	0	0	87	0	30	0	0	75	0	0	0	152	73	0	67	352	0	0	0	56	0
ASV_504	0	0	0	85	0	25	0	23	29	0	12	28	333	16	0	50	36	0	0	0	16	0
ASV_505	0	0	0	59	0	0	0	22	0	0	0	0	0	0	0	0	131	0	0	0	0	0
ASV_506	0	0	0	90	0	36	0	0	180	0	10	0	0	0	0	34	0	0	0	0	127	0
ASV_507	0	0	0	179	0	101	0	0	53	0	0	0	194	0	0	93	121	0	0	0	0	0
ASV_508	0	0	0	0	0	0	132	42	0	0	0	0	0	0	180	0	0	0	0	0	0	0
ASV_509	0	0	0	0	0	0	0	50	0	58	0	57	0	39	0	0	0	0	28	281	0	0
ASV_510	0	48	0	0	31	0	0	0	0	231	0	88	14	0	0	0	0	0	0	125	0	0
ASV_511	0	0	12	28	0	0	0	0	0	0	21	7	226	6	0	0	0	139	0	0	0	0
ASV_512	22	0	0	0	53	0	0	0	0	26	0	0	0	480	0	0	0	0	0	0	0	0
ASV_513	0	0	0	134	34	0	0	0	49	0	0	49	95	32	0	46	0	15	0	0	57	0
ASV_514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0
ASV_515	0	0	0	0	85	0	0	51	0	118	0	0	0	0	0	0	0	0	0	54	0	0
ASV_516	0	0	0	53	0	0	0	0	0	70	0	0	17	68	0	0	78	20	0	0	0	0
ASV_517	0	0	0	0	117	0	0	0	0	68	0	22	0	162	0	0	0	0	50	0	0	46
ASV_518	54	0	0	0	44	0	0	0	0	35	0	0	0	50	0	0	0	0	0	85	0	0
ASV_519	0	0	0	0	54	0	0	41	9	135	0	146	0	0	0	0	0	0	107	8	0	5
ASV_520	0	45	0	25	0	0	147	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0
ASV_521	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	18	0	0	18	244
ASV_522	0	0	0	0	30	0	0	0	0	244	0	51	0	0	0	0	29	0	0	32	0	41
ASV_523	0	0	0	0	0	0	0	0	0	183	0	18	0	104	0	0	0	0	0	11	0	53
ASV_524	0	0	0	88	0	12	0	0	109	14	0	0	320	45	0	0	0	41	0	0	21	0
ASV_525	0	0	0	0	20	0	0	0	0	55	0	0	0	60	0	0	0	0	0	14	0	101
ASV_526	65	0	0	0	29	0	0	32	0	219	0	0	0	26	0	0	0	0	16	0	0	0
ASV_527	0	0	0	0	269	0	0	0	14	0	0	28	0	174	0	0	0	0	0	0	27	0
ASV_528	0	0	0	0	0	0	0	0	0	161	0	0	0	52	0	0	0	0	0	75	0	0
ASV_529	112	62	0	0	131	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
ASV_530	0	0	0	104	0	0	0	0	120	0	69	0	410	0	0	66	0	0	0	0	103	0
ASV_531	0	0	0	0	381	0	0	0	0	0	0	223	0	59	0	0	0	0	37	0	0	0
ASV_532	0	0	0	0	0	0	0	0	0	0	0	41	0	67	0	0	0	0	0	0	0	517
ASV_533	0	0	0	92	0	35	0	0	136	0	0	0	124	0	0	67	0	19	0	0	33	0
ASV_534	0	0	0	164	0	13	0	0	29	0	30	0	394	0	0	62	0	28	0	0	116	0
ASV_535	0	0	0	24	0	9	0	0	4	176	0	0	0	48	0	0	0	0	0	0	19	0
ASV_536	0	0	0	0	62	0	0	0	0	351	0	0	0	0	0	0	0	0	0	70	0	0
ASV_537	0	0	0	0	112	0	0	47	0	0	0	0	0	29	0	0	259	0	0	0	0	102
ASV_538	0	0	0	99	0	33	0	0	33	0	0	0	74	58	0	0	0	0	0	0	36	0
ASV_539	0	0	0	205	0	12	0	0	32	0	19	0	53	0	0	18	0	0	0	0	15	0
ASV_540	0	0	0	0	0	77	0	0	203	0	0	0	0	161	0	106	0	61	0	0	17	0
ASV_541	0	0	0	0	41	11	0	0	0	103	0	0	0	75	0	0	0	0	0	0	0	0
ASV_542	0	0	0	362	0	28	0	0	68	0	0	0	315	0	0	29	0	25	0	0	11	0
ASV_543	0	26	0	28	27	0	0	0	0	0	0	44	52	30	0	0	0	0	0	0	0	0
ASV_544	0	0	0	0	0	0	0	2	0	521	0	15	0	46	0	0	0	0	0	0	0	0
ASV_545	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	39	0	155	0	0	0	0
ASV_546	0	0	19	0	15	0	0	29	6	171	0	0	0	0	0	0	0	0	20	134	0	0
ASV_547	0	0	0	0	67	0	113	18	0	17	0	0	0	0	0	0	0	0	9	0	0	38
ASV_548	0	0	0	0	0	0	0	0	29	0	0	190	0	0	0	0	0	0	0	0	0	0
ASV_549	0	0	0	78	57	0	0	0	0	0	0	0	0	101	0	0	40	16	90	0	0	0
ASV_550	0	0	249	0	0	0	0	16	0	0	0	141	0	39	0	0	0	0	260	18	0	0
ASV_551	0	0	24	0	0	0	0	0	0	57	0	0	0	25	0	0	53	0	0	0	0	73
ASV_552	0	0	0	0	78	0	0	25	0	0	0	63	0	26	0	0	0	0	129	19	0	0
ASV_553	0	0	34	21	0	0	0	0	15	213	10	0	70	0	0	0	0	0	0	121	31	0
ASV_554	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	202	0	0	0	0	0
ASV_555	0	26	18	0	104	3	51	35	5	0	0	0	0	0	0	0	0	0	90	157	0	320
ASV_556	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	425	0	0
ASV_557	0	0	19	0	32	0	0	0	0	0	0	0	0	100	0	0	80	0	0	0	0	0
ASV_558	0	0	0	74	0	0	156	0	47	0	0	0	39	0	0	0	39	0	0	25	35	0
ASV_559	0	0	18	0	65	0	0	159	0	0	0	0	0	0	0	0	79	0	0	0	0	0
ASV_560	0	46	0	49	53	0	0	0	0	0	0	15	37	0	0	44	59	0	112	0	0	0
ASV_561	0	0	0	75	0	0	0	0	32	0	0	0	41	0	0	27	435	6	0	0	0	0
ASV_562	0	0	0	284	0	0	0	0	37	0	0	0	149	0	0	62	31	0	0	0	0	0
ASV_563	0	42	9	0	0	0	216	0	4	0	0	0	12	26	0	0	0	5	0	0	0	0
ASV_564	0	0	0	0	0	11	0	55	16	209	0	18	14	0	0	0	0	0	0	84	0	0
ASV_565	0	0	0	0	0	0	0	54	0	325	0	0	0	9	0	0	0	0	0	35	0	0
ASV_566	0	0	28	148	0	0	0	0	0	143	0	0	118	0	0	0	0	0	0	0	0	0
ASV_567	0	0	0	0	0	3	0	0	0	0	0	0	45	58	0	0	163	0	0	0	0	0
ASV_568	0	6	0	0	0	0	0	0	0	243	0	20	0	42	0	0	0	0	0	59	0	0
ASV_569	0	0	0	284	0	0	0	0	10	0	0	0	107	0	0	5	0	10	0	0	0	0
ASV_570	0	0	0	287	0	65	0	0	73	0	0	0	165	0	0	31	0	0	0	0	26	0
ASV_571	0	0	7	0	0	0	0	37	271	0	0	0	35	41	0	0	0	0	0	0	14	0
ASV_572	0	0	0	105	0	79	0	0	134	0	0	0	330	0	0	88	0	0	0	0	30	0
ASV_573	0	0	0	0	0	0	0	13	0	133	0	91	0	0	0	0	0	0	0	0	0	31
ASV_574	81	0	0	0	0	4	0	0	0	0	0	0	0	38	0	0	13	0	0	78	7	0
ASV_575	0	0	0	91	0	58	0	0	63	0	0	0	65	58	0	0	102	0	0	0	58	0
ASV_576	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	49	0	243
ASV_577	0	0	0	97	0	0	0	0	50	0	0	0	352	10	0	57	0	0	0	0	0	0
ASV_578	0	0	11	0	258	0	0	0	0	27	0	0	0	21	0	0	37	0	0	0	0	92
ASV_579	17	0	0	0	126	0	0	27	0	82	0	191	0	39	0	0	0	0	42	84	0	0
ASV_580	0	0	0	0	0	0	0	52	0	0	0	469	0	0	0	0	0	0	0	46	0	0
ASV_581	0	0	0	0	0	0	0	0	0	48	0	36	0	0	0	0	0	0	0	0	0	218
ASV_582	0	0	0	71	0	0	0	0	35	0	0	0	44	111	0	34	0	0	0	0	13	16
ASV_583	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	162
ASV_584	0	5	17	0	0	0	0	102	0	157	0	0	0	0	0	0	0	0	9	37	0	0
ASV_585	16	0	0	0	0	0	0	0	0	200	0	0	0	25	0	0	0	0	0	0	0	0
ASV_586	0	0	0	0	48	0	0	0	0	58	0	16	0	0	0	0	0	0	0	41	0	305
ASV_587	0	0	0	151	0	0	0	0	55	0	63	0	64	0	0	66	0	0	0	0	66	0
ASV_588	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	14	0	0
ASV_589	7	0	17	0	64	0	0	27	0	0	0	0	0	158	0	0	50	0	0	0	0	0
ASV_590	0	0	0	0	158	0	0	101	0	53	0	56	0	0	0	0	0	0	0	0	0	0
ASV_591	0	0	0	144	0	82	0	0	137	0	17	0	170	0	0	52	0	0	0	0	38	0
ASV_592	0	0	5	0	49	0	0	16	0	246	0	72	0	125	0	0	0	0	0	0	0	0
ASV_593	16	33	0	0	9	0	0	0	0	29	0	89	0	17	0	0	0	0	0	31	0	0
ASV_594	0	0	0	186	0	24	0	0	81	0	34	0	134	0	0	54	0	0	0	0	67	0
ASV_595	0	0	0	132	0	0	0	0	49	0	0	0	224	0	0	0	77	0	0	0	0	0
ASV_596	86	0	0	0	37	0	0	0	0	49	0	31	0	0	0	0	0	0	0	0	0	0
ASV_597	0	0	0	0	54	0	0	0	0	0	0	198	0	28	0	0	21	0	0	0	0	0
ASV_598	0	0	0	298	0	0	0	0	35	0	0	0	82	0	0	33	0	120	0	0	27	0
ASV_599	0	0	0	130	0	47	0	0	94	0	0	0	295	0	0	0	0	39	0	0	72	0
ASV_600	95	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
ASV_601	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224
ASV_602	0	0	0	155	0	107	0	0	99	0	41	0	130	0	0	0	0	115	0	0	0	0
ASV_603	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	8	0	379
ASV_604	0	0	0	0	0	0	0	0	25	0	0	0	125	0	0	41	0	39	0	0	0	0
ASV_605	0	0	0	17	17	0	0	0	16	0	0	0	19	72	0	3	54	5	5	0	30	0
ASV_606	0	0	0	0	42	0	0	20	0	110	0	22	0	0	0	0	0	0	0	65	0	0
ASV_607	0	0	0	125	0	40	0	0	36	0	0	0	305	0	0	36	0	16	0	0	43	12
ASV_608	0	0	0	0	80	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	123
ASV_609	0	0	0	0	0	0	0	33	0	160	0	18	0	0	0	0	0	0	0	0	0	0
ASV_610	0	0	0	0	0	0	0	0	0	23	0	36	0	0	0	0	0	0	0	319	0	0
ASV_611	0	0	0	0	0	0	0	0	0	0	0	0	208	105	0	0	35	0	0	0	63	0
ASV_612	0	0	0	14	0	0	0	45	9	207	0	14	0	36	0	0	0	0	0	50	0	0
ASV_613	0	0	0	0	36	0	0	0	0	98	0	0	0	0	0	0	45	0	0	0	0	104
ASV_614	0	0	0	16	0	19	0	0	0	0	0	0	0	268	0	18	35	0	0	0	0	0
ASV_615	63	0	0	0	0	0	0	0	0	82	0	0	0	63	0	0	0	0	0	19	0	0
ASV_616	0	0	0	26	0	37	0	0	291	0	0	0	53	0	0	35	0	0	0	0	74	0
ASV_617	0	0	41	0	20	0	0	71	0	11	0	28	0	32	0	0	126	0	0	0	0	0
ASV_618	0	0	0	189	0	37	0	0	0	0	0	0	58	0	0	11	0	15	0	0	75	0
ASV_619	0	0	0	0	0	0	0	48	0	124	0	28	0	0	0	0	0	0	0	218	0	0
ASV_620	0	0	0	75	0	21	0	0	0	0	0	0	242	25	0	0	95	23	0	0	15	0
ASV_621	0	0	0	110	0	45	0	0	0	0	0	0	192	0	0	27	77	0	0	0	0	0
ASV_622	0	0	0	0	15	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0
ASV_623	0	0	0	92	0	122	0	0	50	0	0	0	82	0	0	69	0	92	0	0	84	0
ASV_624	75	37	0	0	0	0	174	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0
ASV_625	0	0	0	0	44	0	0	0	0	44	0	0	0	0	0	0	0	0	0	128	0	64
ASV_626	0	0	15	0	0	0	0	0	0	110	0	0	0	43	0	0	0	0	0	64	0	0
ASV_627	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	102	0	0
ASV_628	0	0	63	0	0	0	0	0	0	0	0	31	0	22	0	0	332	0	0	0	0	0
ASV_629	0	0	7	0	106	0	0	0	0	48	0	27	0	0	0	0	0	0	0	99	0	0
ASV_630	0	0	0	0	78	0	0	0	0	71	0	0	0	0	0	0	39	14	0	50	0	83
ASV_631	0	0	0	54	0	16	0	0	0	0	0	0	42	46	0	41	209	13	0	0	0	0
ASV_632	0	0	14	0	80	0	0	207	0	23	0	14	0	0	0	0	0	0	0	61	0	0
ASV_633	0	0	0	61	0	8	0	24	0	166	0	0	44	18	0	0	0	0	0	66	0	0
ASV_634	0	40	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0
ASV_635	0	0	0	0	0	0	0	38	0	0	0	163	0	0	0	0	0	0	66	152	0	13
ASV_636	0	0	0	0	0	0	0	0	0	0	31	0	73	0	0	0	0	199	0	0	0	0
ASV_637	0	0	0	101	0	19	0	0	46	35	12	9	50	0	0	26	43	10	0	0	0	0
ASV_638	0	0	0	101	0	35	0	0	42	0	25	0	140	0	0	33	0	0	0	0	46	0
ASV_639	0	0	0	0	0	0	0	0	0	0	0	146	24	0	0	0	0	0	0	0	37	0
ASV_640	0	0	0	142	0	13	0	0	33	0	0	0	254	0	0	56	0	18	0	0	38	0
ASV_641	0	0	0	69	0	38	0	0	117	0	28	0	204	0	0	46	0	23	0	0	52	0
ASV_642	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	8	70	0	21
ASV_643	0	0	5	45	0	0	0	0	23	0	0	51	83	0	0	7	0	0	0	0	0	0
ASV_644	0	0	0	133	0	0	0	0	39	0	0	0	164	0	0	118	0	17	0	0	0	0
ASV_645	0	0	0	28	0	0	0	0	12	0	0	36	97	0	0	0	0	0	0	0	32	0
ASV_646	0	0	0	0	40	0	0	12	0	0	0	0	0	0	0	0	0	0	0	78	0	205
ASV_647	78	94	9	0	14	0	6	101	0	0	0	0	0	0	0	0	0	0	112	0	0	41
ASV_648	19	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	182	5	0
ASV_649	0	6	0	0	0	0	0	0	0	64	0	15	0	0	0	0	70	0	0	0	0	51
ASV_650	0	0	0	74	0	0	0	0	11	0	23	0	79	0	0	0	0	53	0	35	0	0
ASV_651	0	0	127	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	66
ASV_652	0	0	0	0	33	0	0	32	0	273	0	0	0	0	0	0	0	0	0	16	0	0
ASV_653	0	0	0	54	0	0	0	0	64	0	27	0	200	0	0	14	0	0	19	0	13	0
ASV_654	0	0	0	97	0	12	0	0	61	0	0	0	131	0	0	9	0	0	0	0	38	0
ASV_655	0	0	0	0	119	0	0	0	0	51	0	0	0	0	0	0	0	0	0	107	0	0
ASV_656	0	0	0	65	0	13	0	0	47	0	0	0	173	0	0	0	0	0	0	0	0	0
ASV_657	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	235
ASV_658	0	0	0	20	0	0	45	0	10	0	8	0	236	0	0	24	0	38	0	0	5	9
ASV_659	0	0	0	54	0	0	0	0	54	0	0	0	86	0	0	10	0	0	0	0	26	0
ASV_660	0	0	0	134	0	45	0	52	36	0	0	0	40	0	0	0	0	19	0	0	0	0
ASV_661	0	0	16	0	0	0	0	0	0	107	0	12	0	43	0	0	0	0	0	23	0	21
ASV_662	0	0	0	185	0	30	0	0	0	0	0	0	38	0	0	22	0	44	0	0	0	0
ASV_663	0	0	0	0	0	0	0	92	0	52	0	22	0	47	0	0	0	0	0	0	0	120
ASV_664	0	0	46	0	22	0	0	12	0	97	0	16	0	22	0	0	17	0	0	0	0	0
ASV_665	0	0	168	0	0	0	0	77	0	101	0	24	0	0	0	0	0	0	0	9	0	0
ASV_666	0	0	0	0	86	0	0	0	0	52	0	0	0	0	0	0	0	0	0	143	0	0
ASV_667	0	38	0	0	0	0	0	20	0	66	0	0	0	0	3	0	0	0	132	52	0	0
ASV_668	0	0	0	0	0	0	0	0	0	0	0	170	0	74	0	0	89	9	7	0	0	36
ASV_669	0	0	0	0	84	0	0	0	0	27	0	0	0	0	0	0	119	0	0	0	0	0
ASV_670	0	0	0	0	0	0	0	203	0	28	0	7	0	0	0	0	0	0	0	56	0	0
ASV_671	0	0	0	134	0	36	0	0	60	0	48	0	17	0	0	138	0	0	0	0	72	0
ASV_672	0	0	206	0	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0
ASV_673	0	0	115	0	13	0	0	71	14	28	0	12	0	0	0	0	0	0	0	48	0	0
ASV_674	28	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0
ASV_675	0	0	0	0	0	86	0	0	31	73	0	0	30	0	0	14	0	0	0	0	0	0
ASV_676	0	0	0	13	0	5	0	0	17	0	0	0	23	0	0	0	0	0	0	0	151	0
ASV_677	0	0	0	0	20	0	26	0	0	33	0	0	0	0	0	0	0	0	0	156	0	0
ASV_678	0	24	0	0	0	0	0	63	0	74	0	0	0	0	0	0	0	0	8	9	0	42
ASV_679	0	0	0	0	0	0	0	0	0	0	0	25	120	67	0	0	0	26	0	0	0	0
ASV_680	0	0	0	70	0	43	0	0	43	0	0	0	110	0	0	76	0	13	0	0	84	0
ASV_681	0	0	0	0	60	0	0	18	0	48	0	60	0	0	0	0	0	0	0	0	9	51
ASV_682	0	0	0	0	203	0	0	0	0	16	0	43	0	29	0	0	0	0	32	0	0	0
ASV_683	0	0	0	0	0	0	0	0	0	114	0	0	0	70	0	0	0	0	0	25	0	0
ASV_684	37	0	0	0	26	0	0	5	0	17	0	24	0	21	0	0	0	0	0	0	0	115
ASV_685	0	0	0	0	10	0	60	0	0	121	0	0	0	0	0	0	0	0	0	29	0	0
ASV_686	0	0	0	17	0	26	0	0	39	0	9	0	66	0	0	10	56	0	0	0	121	0
ASV_687	0	0	0	0	0	30	0	0	0	0	0	0	26	47	0	0	229	0	0	0	0	0
ASV_688	0	0	0	45	0	11	0	0	96	0	0	0	74	0	0	30	0	0	0	0	33	0
ASV_689	0	0	0	42	0	20	0	0	63	0	0	0	176	0	0	23	0	22	0	0	65	0
ASV_690	0	0	0	0	0	0	0	0	0	76	0	0	0	41	0	0	7	0	0	0	0	97
ASV_691	0	0	0	0	0	0	0	0	0	21	5	27	88	0	0	0	0	21	0	0	0	50
ASV_692	0	51	0	0	0	0	0	5	0	123	0	0	0	0	0	0	0	0	0	36	0	97
ASV_693	63	0	0	0	0	35	0	0	51	0	0	0	57	0	0	92	0	0	0	0	29	0
ASV_694	0	0	0	67	0	40	0	0	67	0	0	0	38	0	0	69	0	35	0	0	54	0
ASV_695	0	0	0	106	0	0	0	0	0	0	0	0	67	0	0	0	0	69	0	0	48	0
ASV_696	0	0	0	60	0	13	0	0	26	0	7	0	72	0	0	21	0	23	0	0	8	0
ASV_697	0	0	0	49	0	17	0	0	25	8	0	0	43	0	0	0	85	0	0	0	23	0
ASV_698	0	0	0	80	0	19	0	0	8	0	0	0	103	0	0	29	0	0	0	0	0	0
ASV_699	0	0	69	0	0	0	0	7	0	34	0	16	0	27	0	0	0	0	0	0	0	55
ASV_700	0	0	0	29	0	60	0	0	43	0	79	0	46	0	0	0	0	76	0	0	0	0
ASV_701	0	0	0	37	0	44	0	0	12	0	0	56	48	60	0	9	39	0	0	0	16	0
ASV_702	0	0	0	79	0	0	0	0	35	0	0	0	26	0	0	41	101	0	0	0	0	0
ASV_703	0	0	0	89	0	0	0	0	0	0	0	0	44	0	0	25	50	0	0	0	0	0
ASV_704	0	0	0	65	0	48	0	0	30	0	47	0	57	0	0	24	0	0	0	0	25	0
ASV_705	0	0	0	41	0	6	0	0	0	0	0	0	93	59	0	27	0	5	0	0	0	0
ASV_706	0	0	0	58	0	0	0	0	0	0	0	0	37	24	0	23	43	5	0	0	24	0
